instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,weathershit,temp_bin
1,2011-01-01,winter,2011,Jan,0,0,6,no,1,9.84,14.395,0.81,0.0,3,13,16,1,Very Cold
2,2011-01-01,winter,2011,Jan,1,0,6,no,1,9.02,13.635,0.8,0.0,8,32,40,1,Very Cold
3,2011-01-01,winter,2011,Jan,2,0,6,no,1,9.02,13.635,0.8,0.0,5,27,32,1,Very Cold
4,2011-01-01,winter,2011,Jan,3,0,6,no,1,9.84,14.395,0.75,0.0,3,10,13,1,Very Cold
5,2011-01-01,winter,2011,Jan,4,0,6,no,1,9.84,14.395,0.75,0.0,0,1,1,1,Very Cold
6,2011-01-01,winter,2011,Jan,5,0,6,no,2,9.84,12.879999999999999,0.75,0.0896,0,1,1,2,Very Cold
7,2011-01-01,winter,2011,Jan,6,0,6,no,1,9.02,13.635,0.8,0.0,2,0,2,1,Very Cold
8,2011-01-01,winter,2011,Jan,7,0,6,no,1,8.200000000000001,12.879999999999999,0.86,0.0,1,2,3,1,Very Cold
9,2011-01-01,winter,2011,Jan,8,0,6,no,1,9.84,14.395,0.75,0.0,1,7,8,1,Very Cold
10,2011-01-01,winter,2011,Jan,9,0,6,no,1,13.120000000000001,17.424999999999997,0.76,0.0,8,6,14,1,Cold
11,2011-01-01,winter,2011,Jan,10,0,6,no,1,15.58,19.695,0.76,0.2537,12,24,36,1,Cold
12,2011-01-01,winter,2011,Jan,11,0,6,no,1,14.76,16.665,0.81,0.2836,26,30,56,1,Cold
13,2011-01-01,winter,2011,Jan,12,0,6,no,1,17.22,21.21,0.77,0.2836,29,55,84,1,Cold
14,2011-01-01,winter,2011,Jan,13,0,6,no,2,18.86,22.725,0.72,0.2985,47,47,94,2,Cold
15,2011-01-01,winter,2011,Jan,14,0,6,no,2,18.86,22.725,0.72,0.2836,35,71,106,2,Cold
16,2011-01-01,winter,2011,Jan,15,0,6,no,2,18.04,21.97,0.77,0.2985,40,70,110,2,Cold
17,2011-01-01,winter,2011,Jan,16,0,6,no,2,17.22,21.21,0.82,0.2985,41,52,93,2,Cold
18,2011-01-01,winter,2011,Jan,17,0,6,no,2,18.04,21.97,0.82,0.2836,15,52,67,2,Cold
19,2011-01-01,winter,2011,Jan,18,0,6,no,3,17.22,21.21,0.88,0.2537,9,26,35,3,Cold
20,2011-01-01,winter,2011,Jan,19,0,6,no,3,17.22,21.21,0.88,0.2537,6,31,37,3,Cold
21,2011-01-01,winter,2011,Jan,20,0,6,no,2,16.400000000000002,20.455000000000002,0.87,0.2537,11,25,36,2,Cold
22,2011-01-01,winter,2011,Jan,21,0,6,no,2,16.400000000000002,20.455000000000002,0.87,0.194,3,31,34,2,Cold
23,2011-01-01,winter,2011,Jan,22,0,6,no,2,16.400000000000002,20.455000000000002,0.94,0.2239,11,17,28,2,Cold
24,2011-01-01,winter,2011,Jan,23,0,6,no,2,18.86,22.725,0.88,0.2985,15,24,39,2,Cold
25,2011-01-02,winter,2011,Jan,0,0,0,no,2,18.86,22.725,0.88,0.2985,4,13,17,2,Cold
26,2011-01-02,winter,2011,Jan,1,0,0,no,2,18.04,21.97,0.94,0.2537,1,16,17,2,Cold
27,2011-01-02,winter,2011,Jan,2,0,0,no,2,17.22,21.21,1.0,0.2836,1,8,9,2,Cold
28,2011-01-02,winter,2011,Jan,3,0,0,no,2,18.86,22.725,0.94,0.194,2,4,6,2,Cold
29,2011-01-02,winter,2011,Jan,4,0,0,no,2,18.86,22.725,0.94,0.194,2,1,3,2,Cold
30,2011-01-02,winter,2011,Jan,6,0,0,no,3,17.22,21.21,0.77,0.2985,0,2,2,3,Cold
31,2011-01-02,winter,2011,Jan,7,0,0,no,2,16.400000000000002,20.455000000000002,0.76,0.194,0,1,1,2,Cold
32,2011-01-02,winter,2011,Jan,8,0,0,no,3,16.400000000000002,20.455000000000002,0.71,0.2239,0,8,8,3,Cold
33,2011-01-02,winter,2011,Jan,9,0,0,no,2,15.58,19.695,0.76,0.2239,1,19,20,2,Cold
34,2011-01-02,winter,2011,Jan,10,0,0,no,2,14.76,17.424999999999997,0.81,0.2239,7,46,53,2,Cold
35,2011-01-02,winter,2011,Jan,11,0,0,no,2,14.76,16.665,0.71,0.2537,16,54,70,2,Cold
36,2011-01-02,winter,2011,Jan,12,0,0,no,2,14.76,16.665,0.66,0.2985,20,73,93,2,Cold
37,2011-01-02,winter,2011,Jan,13,0,0,no,2,14.76,17.424999999999997,0.66,0.1343,11,64,75,2,Cold
38,2011-01-02,winter,2011,Jan,14,0,0,no,3,14.76,17.424999999999997,0.76,0.194,4,55,59,3,Cold
39,2011-01-02,winter,2011,Jan,15,0,0,no,3,13.940000000000001,16.665,0.81,0.1642,19,55,74,3,Cold
40,2011-01-02,winter,2011,Jan,16,0,0,no,3,13.940000000000001,16.665,0.71,0.1642,9,67,76,3,Cold
41,2011-01-02,winter,2011,Jan,17,0,0,no,1,13.940000000000001,16.665,0.57,0.194,7,58,65,1,Cold
42,2011-01-02,winter,2011,Jan,18,0,0,no,2,14.76,16.665,0.46,0.3284,10,43,53,2,Cold
43,2011-01-02,winter,2011,Jan,19,0,0,no,1,13.120000000000001,14.395,0.42,0.4478,1,29,30,1,Cold
44,2011-01-02,winter,2011,Jan,20,0,0,no,1,12.299999999999999,13.635,0.39,0.3582,5,17,22,1,Cold
45,2011-01-02,winter,2011,Jan,21,0,0,no,1,10.66,11.365,0.44,0.3284,11,20,31,1,Cold
46,2011-01-02,winter,2011,Jan,22,0,0,no,1,9.84,10.605,0.44,0.2985,0,9,9,1,Very Cold
47,2011-01-02,winter,2011,Jan,23,0,0,no,1,9.02,11.365,0.47,0.1642,0,8,8,1,Very Cold
48,2011-01-03,winter,2011,Jan,0,0,1,yes,1,9.02,9.85,0.44,0.3582,0,5,5,1,Very Cold
49,2011-01-03,winter,2011,Jan,1,0,1,yes,1,8.200000000000001,8.334999999999999,0.44,0.4179,0,2,2,1,Very Cold
50,2011-01-03,winter,2011,Jan,4,0,1,yes,1,6.5600000000000005,6.819999999999999,0.47,0.3881,0,1,1,1,Very Cold
51,2011-01-03,winter,2011,Jan,5,0,1,yes,1,6.5600000000000005,6.819999999999999,0.47,0.2836,0,3,3,1,Very Cold
52,2011-01-03,winter,2011,Jan,6,0,1,yes,1,5.74,5.305,0.5,0.3881,0,30,30,1,Very Cold
53,2011-01-03,winter,2011,Jan,7,0,1,yes,1,5.74,6.819999999999999,0.5,0.194,1,63,64,1,Very Cold
54,2011-01-03,winter,2011,Jan,8,0,1,yes,1,5.74,6.0600000000000005,0.5,0.2836,1,153,154,1,Very Cold
55,2011-01-03,winter,2011,Jan,9,0,1,yes,1,6.5600000000000005,6.819999999999999,0.43,0.3881,7,81,88,1,Very Cold
56,2011-01-03,winter,2011,Jan,10,0,1,yes,1,7.38,8.334999999999999,0.43,0.2537,11,33,44,1,Very Cold
57,2011-01-03,winter,2011,Jan,11,0,1,yes,1,8.200000000000001,9.09,0.4,0.3284,10,41,51,1,Very Cold
58,2011-01-03,winter,2011,Jan,12,0,1,yes,1,9.02,10.605,0.35,0.2985,13,48,61,1,Very Cold
59,2011-01-03,winter,2011,Jan,13,0,1,yes,1,9.84,10.605,0.35,0.2836,8,53,61,1,Very Cold
60,2011-01-03,winter,2011,Jan,14,0,1,yes,1,10.66,12.120000000000001,0.3,0.2836,11,66,77,1,Cold
61,2011-01-03,winter,2011,Jan,15,0,1,yes,1,10.66,12.120000000000001,0.3,0.2537,14,58,72,1,Cold
62,2011-01-03,winter,2011,Jan,16,0,1,yes,1,10.66,12.120000000000001,0.3,0.2537,9,67,76,1,Cold
63,2011-01-03,winter,2011,Jan,17,0,1,yes,1,9.84,11.365,0.3,0.2239,11,146,157,1,Very Cold
64,2011-01-03,winter,2011,Jan,18,0,1,yes,1,9.84,12.879999999999999,0.32,0.1045,9,148,157,1,Very Cold
65,2011-01-03,winter,2011,Jan,19,0,1,yes,1,8.200000000000001,12.879999999999999,0.47,0.0,8,102,110,1,Very Cold
66,2011-01-03,winter,2011,Jan,20,0,1,yes,1,8.200000000000001,11.365,0.47,0.1045,3,49,52,1,Very Cold
67,2011-01-03,winter,2011,Jan,21,0,1,yes,1,7.38,9.85,0.64,0.1343,3,49,52,1,Very Cold
68,2011-01-03,winter,2011,Jan,22,0,1,yes,1,5.74,7.575,0.69,0.1343,0,20,20,1,Very Cold
69,2011-01-03,winter,2011,Jan,23,0,1,yes,1,7.38,10.605,0.55,0.1045,1,11,12,1,Very Cold
70,2011-01-04,winter,2011,Jan,0,0,2,yes,1,6.5600000000000005,9.09,0.55,0.1045,0,5,5,1,Very Cold
71,2011-01-04,winter,2011,Jan,1,0,2,yes,1,6.5600000000000005,9.09,0.59,0.1045,0,2,2,1,Very Cold
72,2011-01-04,winter,2011,Jan,2,0,2,yes,1,5.74,7.575,0.63,0.1343,0,1,1,1,Very Cold
73,2011-01-04,winter,2011,Jan,4,0,2,yes,1,5.74,9.09,0.63,0.0896,0,2,2,1,Very Cold
74,2011-01-04,winter,2011,Jan,5,0,2,yes,1,4.92,7.575,0.68,0.1045,0,4,4,1,Very Cold
75,2011-01-04,winter,2011,Jan,6,0,2,yes,1,4.92,7.575,0.74,0.1045,0,36,36,1,Very Cold
76,2011-01-04,winter,2011,Jan,7,0,2,yes,1,4.92,7.575,0.74,0.1343,2,92,94,1,Very Cold
77,2011-01-04,winter,2011,Jan,8,0,2,yes,1,5.74,7.575,0.69,0.1642,2,177,179,1,Very Cold
78,2011-01-04,winter,2011,Jan,9,0,2,yes,1,6.5600000000000005,7.575,0.64,0.2239,2,98,100,1,Very Cold
79,2011-01-04,winter,2011,Jan,10,0,2,yes,2,6.5600000000000005,6.819999999999999,0.69,0.3284,5,37,42,2,Very Cold
80,2011-01-04,winter,2011,Jan,11,0,2,yes,1,9.02,10.605,0.51,0.2985,7,50,57,1,Very Cold
81,2011-01-04,winter,2011,Jan,12,0,2,yes,1,9.02,11.365,0.51,0.1642,12,66,78,1,Very Cold
82,2011-01-04,winter,2011,Jan,13,0,2,yes,1,9.84,11.365,0.56,0.194,18,79,97,1,Very Cold
83,2011-01-04,winter,2011,Jan,14,0,2,yes,1,10.66,12.879999999999999,0.52,0.2239,9,54,63,1,Cold
84,2011-01-04,winter,2011,Jan,15,0,2,yes,1,11.48,13.635,0.52,0.2537,17,48,65,1,Cold
85,2011-01-04,winter,2011,Jan,16,0,2,yes,1,12.299999999999999,14.395,0.49,0.2537,15,68,83,1,Cold
86,2011-01-04,winter,2011,Jan,17,0,2,yes,1,11.48,13.635,0.48,0.2239,10,202,212,1,Cold
87,2011-01-04,winter,2011,Jan,18,0,2,yes,1,10.66,12.879999999999999,0.48,0.194,3,179,182,1,Cold
88,2011-01-04,winter,2011,Jan,19,0,2,yes,1,9.84,12.879999999999999,0.48,0.1045,2,110,112,1,Very Cold
89,2011-01-04,winter,2011,Jan,20,0,2,yes,1,9.84,12.879999999999999,0.48,0.1045,1,53,54,1,Very Cold
90,2011-01-04,winter,2011,Jan,21,0,2,yes,1,9.02,13.635,0.64,0.0,0,48,48,1,Very Cold
91,2011-01-04,winter,2011,Jan,22,0,2,yes,1,9.02,12.879999999999999,0.64,0.0896,1,34,35,1,Very Cold
92,2011-01-04,winter,2011,Jan,23,0,2,yes,1,8.200000000000001,11.365,0.69,0.0896,2,9,11,1,Very Cold
93,2011-01-05,winter,2011,Jan,0,0,3,yes,1,8.200000000000001,12.879999999999999,0.64,0.0,0,6,6,1,Very Cold
94,2011-01-05,winter,2011,Jan,1,0,3,yes,1,6.5600000000000005,9.85,0.74,0.0896,0,6,6,1,Very Cold
95,2011-01-05,winter,2011,Jan,2,0,3,yes,1,6.5600000000000005,9.85,0.74,0.0896,0,2,2,1,Very Cold
96,2011-01-05,winter,2011,Jan,4,0,3,yes,1,9.84,11.365,0.48,0.2239,0,2,2,1,Very Cold
97,2011-01-05,winter,2011,Jan,5,0,3,yes,1,9.02,11.365,0.47,0.1642,0,3,3,1,Very Cold
98,2011-01-05,winter,2011,Jan,6,0,3,yes,1,8.200000000000001,9.85,0.47,0.2239,0,33,33,1,Very Cold
99,2011-01-05,winter,2011,Jan,7,0,3,yes,1,7.38,9.09,0.43,0.194,1,87,88,1,Very Cold
100,2011-01-05,winter,2011,Jan,8,0,3,yes,1,8.200000000000001,9.09,0.4,0.2985,3,192,195,1,Very Cold
101,2011-01-05,winter,2011,Jan,9,0,3,yes,1,9.02,9.85,0.37,0.3284,6,109,115,1,Very Cold
102,2011-01-05,winter,2011,Jan,10,0,3,yes,1,9.02,9.85,0.37,0.3284,4,53,57,1,Very Cold
103,2011-01-05,winter,2011,Jan,11,0,3,yes,1,10.66,11.365,0.33,0.3284,12,34,46,1,Cold
104,2011-01-05,winter,2011,Jan,12,0,3,yes,1,10.66,11.365,0.33,0.3284,5,74,79,1,Cold
105,2011-01-05,winter,2011,Jan,13,0,3,yes,1,11.48,12.879999999999999,0.3,0.2985,6,65,71,1,Cold
106,2011-01-05,winter,2011,Jan,14,0,3,yes,1,12.299999999999999,14.395,0.28,0.194,10,52,62,1,Cold
107,2011-01-05,winter,2011,Jan,15,0,3,yes,1,12.299999999999999,14.395,0.28,0.194,7,55,62,1,Cold
108,2011-01-05,winter,2011,Jan,16,0,3,yes,1,12.299999999999999,15.909999999999998,0.28,0.0896,4,85,89,1,Cold
109,2011-01-05,winter,2011,Jan,17,0,3,yes,1,9.84,11.365,0.38,0.194,4,186,190,1,Very Cold
110,2011-01-05,winter,2011,Jan,18,0,3,yes,1,9.84,12.120000000000001,0.38,0.1343,3,166,169,1,Very Cold
111,2011-01-05,winter,2011,Jan,19,0,3,yes,1,9.84,12.879999999999999,0.38,0.1045,5,127,132,1,Very Cold
112,2011-01-05,winter,2011,Jan,20,0,3,yes,1,9.02,11.365,0.47,0.1642,7,82,89,1,Very Cold
113,2011-01-05,winter,2011,Jan,21,0,3,yes,1,8.200000000000001,9.85,0.51,0.194,3,40,43,1,Very Cold
114,2011-01-05,winter,2011,Jan,22,0,3,yes,1,7.38,9.85,0.55,0.1343,1,41,42,1,Very Cold
115,2011-01-05,winter,2011,Jan,23,0,3,yes,1,8.200000000000001,12.879999999999999,0.47,0.0,1,18,19,1,Very Cold
116,2011-01-06,winter,2011,Jan,0,0,4,yes,1,7.38,12.120000000000001,0.55,0.0,0,11,11,1,Very Cold
117,2011-01-06,winter,2011,Jan,1,0,4,yes,1,6.5600000000000005,11.365,0.64,0.0,0,4,4,1,Very Cold
118,2011-01-06,winter,2011,Jan,2,0,4,yes,1,6.5600000000000005,11.365,0.64,0.0,0,2,2,1,Very Cold
119,2011-01-06,winter,2011,Jan,4,0,4,yes,2,6.5600000000000005,9.85,0.64,0.0896,0,1,1,2,Very Cold
120,2011-01-06,winter,2011,Jan,5,0,4,yes,2,5.74,9.09,0.69,0.0896,0,4,4,2,Very Cold
121,2011-01-06,winter,2011,Jan,6,0,4,yes,2,5.74,8.334999999999999,0.63,0.1045,0,36,36,2,Very Cold
122,2011-01-06,winter,2011,Jan,7,0,4,yes,2,6.5600000000000005,11.365,0.59,0.0,0,95,95,2,Very Cold
123,2011-01-06,winter,2011,Jan,8,0,4,yes,1,6.5600000000000005,11.365,0.59,0.0,3,216,219,1,Very Cold
124,2011-01-06,winter,2011,Jan,9,0,4,yes,2,7.38,12.120000000000001,0.51,0.0,6,116,122,2,Very Cold
